place,Total_Time,Swim_Time,Bike_Time,Run_Time
106,34163.0,3884.0000000000005,18408.0,11546.0
107,34168.0,3773.0000000000005,18108.0,11910.0
108,34180.0,4016.0000000000005,17978.0,11972.0
109,34192.0,4029.0000000000005,18352.0,11571.0
110,34199.0,4133.0,17608.0,12130.0
111,34218.0,3929.0000000000005,18355.0,11462.0
112,34246.0,3153.0,18184.0,12456.0
113,34286.0,3615.0,18649.0,11853.0
114,34296.0,3631.0,17795.0,12693.0
115,34300.0,3503.0,18766.0,11776.0
116,34307.0,3276.0,17068.0,13647.0
117,34310.0,3666.0000000000005,17693.0,12676.0
118,34311.0,3432.0,18107.0,12539.0
119,34338.0,3843.0000000000005,17080.0,13046.0
120,34375.0,3413.0,18754.0,11980.0
121,34381.0,3675.0000000000005,18200.0,12181.0
122,34388.0,3885.0000000000005,18190.0,12017.0
123,34395.0,3010.0,18984.0,12095.0
124,34396.0,4321.0,18680.0,10802.0
125,34426.0,3753.0000000000005,17670.0,12714.0
126,34429.0,3549.0,18264.0,12426.0
127,34434.0,3897.0000000000005,17421.0,12710.0
128,34444.0,3849.0000000000005,17948.0,12186.0
129,34449.0,3706.0000000000005,17989.0,12502.0
130,34530.0,3375.0,18499.0,12271.0
131,34553.0,3630.0,17912.0,12708.0
132,34597.0,4541.0,17762.0,11933.0
133,34600.0,3813.0000000000005,17711.0,12772.0
134,34602.0,4091.0000000000005,18280.0,11958.0
135,34613.0,3556.0,17812.0,13010.0
136,34615.0,3453.0,18037.0,12830.0
137,34626.0,3384.0,17787.0,13220.0
138,34638.0,3731.0000000000005,17891.0,12557.0
139,34648.0,3945.0000000000005,17758.0,12683.0
140,34665.0,3862.0000000000005,17770.0,12694.0
141,34671.0,4267.0,17597.0,12517.0
142,34674.0,3670.0000000000005,18203.0,12431.0
143,34679.0,4671.0,17991.0,11759.0
144,34685.0,3530.0,18126.0,12847.0
145,34711.0,4078.0000000000005,17636.0,12812.0
146,34726.0,4057.0000000000005,17579.0,12861.0
147,34750.0,3953.0000000000005,17938.0,12617.0
148,34752.0,3420.0,17850.0,13123.0
149,34760.0,3278.0,18471.0,12791.0
150,34763.0,3962.0000000000005,18317.0,12227.0
151,34765.0,3713.0000000000005,18532.0,12152.0
152,34780.0,3713.0000000000005,18546.0,12146.0
153,34822.0,3858.0000000000005,17901.0,12774.0
154,34824.0,3556.0,17715.0,13316.0
155,34824.0,3793.0000000000005,17509.0,13265.0
156,34829.0,3745.0000000000005,19026.0,11795.0
157,34854.0,3592.0,17603.0,13295.0
158,34857.0,4322.0,18037.0,12191.0
159,34857.0,3553.0,18487.0,12543.0
160,34858.0,4774.0,17468.0,12355.0
161,34861.0,3378.0,18181.0,12935.0
162,34868.0,4645.0,17275.0,12453.0
163,34868.0,3287.0,18386.0,12931.0
164,34878.0,3454.0,18562.0,12576.0
165,34878.0,3864.0000000000005,18008.0,12747.0
166,34886.0,3738.0000000000005,18367.0,12486.0
167,34886.0,3859.0000000000005,19179.0,11581.0
168,34902.0,3129.0,19047.0,12301.0
169,34922.0,3477.0,18699.0,12353.0
170,34923.0,3422.0,18398.0,12802.0
171,34938.0,3743.0000000000005,18075.0,12812.0
172,34950.0,3838.0000000000005,18517.0,12332.0
173,34973.0,3449.0,18771.0,12547.0
174,34978.0,3682.0000000000005,17994.0,13101.0
175,34989.0,3979.0000000000005,17869.0,12749.0
176,34999.0,3561.0,19176.0,11874.0
177,35009.0,3923.0000000000005,19071.0,11638.0
178,35043.0,4060.0000000000005,18573.0,12094.0
179,35046.0,4244.0,18278.0,12069.0
180,35054.0,3506.0,17807.0,13342.0
181,35069.0,3882.0000000000005,18122.0,12778.0
182,35070.0,3609.0,18983.0,12249.0
183,35076.0,4017.0000000000005,18137.0,12602.0
184,35088.0,3732.0000000000005,18353.0,12596.0
185,35092.0,3871.0000000000005,18858.0,12078.0
